City,City Remapped,Combined,Year,Full Date,ES,TH,SH,Total - Sheltered,Total - Unsheltered,Total PEH,Unsheltered - Chronically Homeless,Unsheltered - Veteran,Unsheltered - Female,Unsheltered - Families,Unsheltered - Youth,Sheltered - Chronically Homeless,Sheltered - Veteran,Sheltered - Female,Sheltered - Families,Sheltered - Youth,Unsheltered - Male,Unsheltered - Female,Unsheltered - Transgender,Unsheltered - Questioning,"Unsheltered - American Indian, Alaska Native, or Indigenous",Unshelthered - Asian or Asian American,"Unsheltered - Black, African American, or African",Unsheltered - Native Hawaiian or Pacific Islander ,Unsheltered - White,Unsheltered - Mulitple Races,"Sheltered - American Indian, Alaska Native, or Indigenous",Sheltered - Asian or Asian American,"Sheltered - Black, African American, or African",Sheltered - Native Hawaiian or Pacific Islander ,Sheltered - White,Sheltered - Multiple Races
City of Encinitas,City of Encinitas,City of Encinitas|2017,2017,,11,22,0,33,117,150,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Encinitas,City of Encinitas,City of Encinitas|2016,2016,,28,11,0,39,54,93,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Encinitas,City of Encinitas,City of Encinitas|2015,2015,,30,13,0,43,80,123,40,20,10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Escondido,City of Escondido,City of Escondido|2022,2022,,295,14,8,317,182,499,#N/A,18,43,5,36,#N/A,9,suppressed,97,4,76,24,#N/A,#N/A,6,2,16,1,74,1,6,2,13,1,75,3
City of Escondido,City of Escondido,City of Escondido|2021,2021,,69,73,12,154,#N/A,154,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Escondido,City of Escondido,City of Escondido|2020,2020,,102,52,11,165,264,429,53,8,68,0,9,34,20,85,25,15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Escondido,City of Escondido,City of Escondido|2019,2019,,#N/A,#N/A,#N/A,109,241,350,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Escondido,City of Escondido,City of Escondido|2018,2018,,87,53,8,148,154,302,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Escondido,City of Escondido,City of Escondido|2017,2017,,82,175,12,257,523,780,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Escondido,City of Escondido,City of Escondido|2016,2016,,75,224,8,307,225,532,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Escondido,City of Escondido,City of Escondido|2015,2015,,60,249,9,318,11,329,26,17,26,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,26,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Fallbrook,County of San Diego,City of Fallbrook|2017,2017,,#N/A,#N/A,#N/A,#N/A,17,17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Fallbrook,County of San Diego,City of Fallbrook|2016,2016,,#N/A,#N/A,#N/A,#N/A,8,8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Fallbrook,County of San Diego,City of Fallbrook|2015,2015,,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Imperial Beach,City of Imperial Beach,City of Imperial Beach|2022,2022,,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Imperial Beach,City of Imperial Beach,City of Imperial Beach|2021,2021,,0,0,0,0,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Imperial Beach,City of Imperial Beach,City of Imperial Beach|2020,2020,,0,0,0,0,16,16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Imperial Beach,City of Imperial Beach,City of Imperial Beach|2019,2019,,#N/A,#N/A,#N/A,0,12,12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Imperial Beach,City of Imperial Beach,City of Imperial Beach|2018,2018,,0,0,0,0,7,7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Imperial Beach,City of mperial Beach,City of Imperial Beach|2017,2017,,0,0,0,0,22,22,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Imperial Beach,City of Imperial Beach,City of Imperial Beach|2016,2016,,0,0,0,0,12,12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Imperial Beach,City of Imperial Beach,City of Imperial Beach|2015,2015,,0,0,0,0,46,46,9,9,9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of La Mesa,City of La Mesa,City of La Mesa|2022,2022,,1,17,0,18,35,53,#N/A,3,8,0,0,#N/A,0,suppressed,0,15,77,23,#N/A,#N/A,0,3,46,0,51,0,5,6,56,0,33,0
City of La Mesa,City of La Mesa,City of La Mesa|2021,2021,,0,0,0,0,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of La Mesa,City of La Mesa,City of La Mesa|2020,2020,,0,0,0,0,52,52,8,1,8,0,0,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of La Mesa,City of La Mesa,City of La Mesa|2019,2019,,#N/A,#N/A,#N/A,0,46,46,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of La Mesa,City of La Mesa,City of La Mesa|2018,2018,,29,0,0,29,10,39,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of La Mesa,City of La Mesa,City of La Mesa|2017,2017,,0,0,0,0,25,25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of La Mesa,City of La Mesa,City of La Mesa|2016,2016,,0,0,0,0,31,31,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of La Mesa,City of La Mesa,City of La Mesa|2015,2015,,0,0,0,0,19,19,0,2,6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Lakeside,County of San Diego,City of Lakeside|2017,2017,,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Lakeside,County of San Diego,City of Lakeside|2016,2016,,#N/A,#N/A,#N/A,#N/A,87,87,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Lakeside,County of San Diego,City of Lakeside|2015,2015,,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Lemon Grove,City of Lemon Grove,City of Lemon Grove|2022,2022,,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Lemon Grove,City of Lemon Grove,City of Lemon Grove|2021,2021,,0,0,0,0,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Lemon Grove,City of Lemon Grove,City of Lemon Grove|2020,2020,,0,0,0,0,18,18,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Lemon Grove,City of Lemon Grove,City of Lemon Grove|2019,2019,,#N/A,#N/A,#N/A,0,35,35,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Lemon Grove,City of Lemon Grove,City of Lemon Grove|2018,2018,,0,0,0,0,10,10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Lemon Grove,City of Lemon Grove,City of Lemon Grove|2017,2017,,0,0,0,0,36,36,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Lemon Grove,City of Lemon Grove,City of Lemon Grove|2016,2016,,0,0,0,0,12,12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Lemon Grove,City of Lemon Grove,City of Lemon Grove|2015,2015,,0,0,0,0,11,11,1,1,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of National City,City of National City,City of National City|2022,2022,,0,9,0,9,149,158,#N/A,22,41,6,11,#N/A,0,0,0,9,71,28,#N/A,1,0,9,21,6,64,0,0,0,0,0,89,11
City of National City,City of National City,City of National City|2021,2021,,0,9,0,9,#N/A,9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of National City,City of National City,City of National City|2020,2020,,0,3,0,3,125,128,21,9,31,0,1,0,2,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of National City,City of National City,City of National City|2019,2019,,#N/A,#N/A,#N/A,0,94,94,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of National City,City of National City,City of National City|2018,2018,,21,11,0,32,51,83,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of National City,City of National City,City of National City|2017,2017,,0,18,0,18,294,312,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of National City,City of National City,City of National City|2016,2016,,0,33,0,33,299,332,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of National City,City of National City,City of National City|2015,2015,,0,16,0,16,137,153,68,8,68,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,68,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Oceanside,City of Oceanside,City of Oceanside|2022,2022,,78,118,0,196,318,514,#N/A,71,86,0,6,#N/A,17,suppressed,158,18,73,27,#N/A,#N/A,1,0,14,0,81,4,3,3,24,1,64,4
City of Oceanside,City of Oceanside,City of Oceanside|2021,2021,,26,119,0,145,#N/A,145,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Oceanside,City of Oceanside,City of Oceanside|2020,2020,,35,131,0,166,242,408,30,5,65,1,25,0,48,71,84,39,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Oceanside,City of Oceanside,City of Oceanside|2019,2019,,#N/A,#N/A,#N/A,193,290,483,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Oceanside,City of Oceanside,City of Oceanside|2018,2018,,56,101,0,157,116,273,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Oceanside,City of Oceanside,City of Oceanside|2017,2017,,60,110,0,170,531,701,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Oceanside,City of Oceanside,City of Oceanside|2016,2016,,60,215,0,275,392,667,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Oceanside,City of Oceanside,City of Oceanside|2015,2015,,62,200,0,262,158,420,43,49,30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Poway,City of Poway,City of Poway|2022,2022,,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
